loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,term_int,grade_int,emp_length_int,home_ownership_int,verification_status_int,purpose_int,income_tax
28000,24.85,819.38,78000.0,19.88,3.0,1,4,0,0,2,2,5850.0
40000,29.99,1293.9,438000.0,12.67,1.0,1,5,10,0,1,1,32850.0
8000,15.99,281.22,78600.0,28.12,0.0,0,2,10,0,0,1,5895.0
10000,20.0,264.94,31200.0,22.58,0.0,1,3,3,2,0,1,0.0
8000,11.49,263.78,100000.0,25.3,0.0,0,1,10,0,0,1,7500.0
10000,7.21,309.74,64000.0,27.4,0.0,0,0,2,2,2,1,0.0
12000,15.61,289.34,69000.0,30.21,0.0,1,3,10,2,1,1,5175.0
3950,16.02,138.91,70000.0,29.85,0.0,0,2,6,0,0,0,5250.0
5000,6.24,152.66,33280.0,18.46,0.0,0,0,2,0,1,3,0.0
9000,5.31,271.0,38000.0,6.54,0.0,0,0,10,0,2,1,0.0
18000,13.67,415.76,46000.0,16.88,0.0,1,2,4,2,1,1,0.0
19800,11.49,652.84,80000.0,21.6,0.0,0,1,4,0,0,3,6000.0
40000,10.91,1307.85,150000.0,22.2,0.0,0,1,2,1,2,3,11250.0
5600,6.67,172.07,44000.0,11.65,0.0,0,0,-1,0,1,2,0.0
40000,12.62,902.37,125000.0,21.2,0.0,1,2,0,0,0,3,9375.0
6000,15.02,208.06,40000.0,17.85,0.0,0,2,1,1,2,3,0.0
16000,8.67,506.35,60012.0,10.72,0.0,0,1,4,0,2,0,0.0
12150,13.49,412.26,125000.0,16.48,1.0,0,2,5,0,1,2,9375.0
12000,15.61,419.58,60000.0,17.52,0.0,0,3,2,0,1,2,0.0
16750,14.33,392.62,48464.0,30.58,0.0,1,2,4,0,0,3,0.0
14400,13.49,488.6,97000.0,24.73,0.0,0,2,10,3,0,1,7275.0
6025,13.99,205.9,90000.0,25.04,1.0,0,2,0,0,1,1,6750.0
11200,11.44,369.02,80000.0,26.4,0.0,0,1,9,2,2,1,6000.0
10000,23.88,286.99,45000.0,28.95,0.0,1,4,5,2,0,1,0.0
15000,8.24,471.71,75000.0,7.86,0.0,0,1,10,0,1,1,5625.0
14000,13.33,320.92,41000.0,14.26,0.0,1,2,10,0,2,1,0.0
7200,11.14,236.2,142000.0,24.32,0.0,0,1,10,0,0,1,10650.0
8000,16.91,284.87,45343.9,23.11,0.0,0,2,7,2,1,1,0.0
8400,13.11,283.48,51000.0,6.45,0.0,0,1,6,2,1,1,0.0
27500,10.42,892.79,142000.0,15.98,1.0,0,1,8,0,2,1,10650.0
11000,6.83,338.8,30200.0,9.74,0.0,0,0,2,2,2,3,0.0
35000,21.18,950.42,86000.0,15.92,0.0,1,4,5,0,0,1,6450.0
6000,8.46,189.3,45000.0,30.4,0.0,0,0,2,2,1,3,0.0
10000,12.69,225.95,65000.0,9.03,1.0,1,2,3,2,1,1,0.0
14000,6.03,426.1,50000.0,13.27,0.0,0,0,-1,0,1,2,0.0
4000,15.99,140.61,65000.0,16.88,0.0,0,2,8,2,1,1,0.0
20000,20.48,535.24,63820.0,2.44,6.0,1,6,10,0,0,1,0.0
7000,7.21,216.82,110000.0,12.03,0.0,0,0,10,0,2,2,8250.0
20000,14.47,688.13,55000.0,52.43,0.0,0,2,10,2,2,3,0.0
10750,15.8,376.88,47000.0,14.09,0.0,0,2,10,1,0,1,0.0
9000,13.99,307.56,65000.0,33.12,0.0,0,2,2,1,2,1,0.0
17000,6.07,517.72,99000.0,13.68,0.0,0,0,10,0,2,1,7425.0
20000,18.06,508.53,80000.0,22.91,0.0,1,3,1,2,1,3,6000.0
5000,14.65,172.48,135000.0,13.98,2.0,0,2,10,2,1,8,10125.0
35000,21.49,1327.45,94000.0,26.31,0.0,0,3,8,0,1,1,7050.0
20000,6.89,616.54,45000.0,30.13,0.0,0,0,-1,1,0,3,0.0
27425,12.62,618.69,100000.0,19.6,0.0,1,2,10,2,2,1,7500.0
4000,14.09,136.89,20000.0,6.78,0.0,0,1,3,2,2,1,0.0
10000,11.49,329.72,90000.0,16.07,2.0,0,1,8,1,0,0,6750.0
40000,12.62,902.37,117000.0,14.31,0.0,1,2,3,0,1,0,8775.0
12000,9.93,386.82,65000.0,18.69,0.0,0,1,5,2,1,3,0.0
7500,13.99,256.3,24000.0,33.85,0.0,0,2,3,2,1,1,0.0
10000,15.02,346.76,84996.0,13.68,0.0,0,2,8,2,2,7,6374.7
10000,10.99,327.34,160000.0,17.63,3.0,0,1,7,0,2,3,12000.0
12000,12.74,402.83,70000.0,32.56,0.0,0,2,10,2,2,3,5250.0
10000,18.99,259.36,40000.0,17.43,0.0,1,4,2,2,0,1,0.0
36000,12.73,814.15,90000.0,15.61,0.0,1,1,10,0,1,2,6750.0
12000,11.49,395.66,80000.0,24.55,0.0,0,1,3,2,1,1,6000.0
21825,14.08,508.74,91000.0,19.06,0.0,1,2,1,2,2,3,6825.0
15000,10.99,491.01,52700.0,15.83,0.0,0,1,4,2,1,3,0.0
10000,11.49,329.72,64000.0,12.92,1.0,0,1,10,2,1,3,0.0
18350,18.84,474.4,40000.0,31.84,0.0,1,4,5,2,1,1,0.0
10000,11.99,332.1,60000.0,22.96,0.0,0,1,2,2,1,3,0.0
16000,27.49,493.27,70400.0,25.11,0.0,1,5,-1,1,0,1,5280.0
10000,19.24,260.73,40000.0,13.86,1.0,1,4,10,1,1,1,0.0
21000,13.99,488.53,48418.0,35.89,0.0,1,2,10,2,1,1,0.0
20000,13.53,679.0,170000.0,10.86,1.0,0,1,7,0,0,1,12750.0
20000,16.02,703.34,85000.0,16.74,0.0,0,2,10,0,2,1,6375.0
35000,15.05,1214.15,46800.0,6.92,0.0,0,2,2,1,1,7,0.0
19000,11.31,624.83,42000.0,9.37,0.0,0,1,1,2,1,1,0.0
28000,15.99,984.26,90000.0,22.46,0.0,0,3,10,0,1,1,6750.0
5500,7.02,169.88,80000.0,10.97,0.0,0,0,10,0,2,1,6000.0
2850,6.71,87.63,130000.0,12.76,0.0,0,0,10,0,2,1,9750.0
30000,19.42,1106.07,100000.0,36.23,2.0,0,3,10,0,0,1,7500.0
32500,16.24,794.49,98750.0,21.4,0.0,1,2,9,0,0,2,7406.25
19400,9.71,623.35,55000.0,18.7,0.0,0,1,5,2,0,1,0.0
34150,12.62,770.4,25000.0,3.6,0.0,1,2,10,0,1,1,0.0
15000,11.44,494.22,105000.0,15.2,0.0,0,1,4,0,1,3,7875.0
27325,18.49,701.18,187000.0,9.11,0.0,1,4,4,0,1,3,14025.0
7200,10.99,235.69,105000.0,20.05,4.0,0,1,10,0,1,1,7875.0
35000,13.11,1181.15,70000.0,16.79,0.0,0,1,0,2,0,3,5250.0
6600,15.05,228.96,43000.0,29.71,0.0,0,2,5,2,1,1,0.0
16000,7.89,500.58,64000.0,18.01,0.0,0,0,5,0,1,3,0.0
2000,7.96,62.64,20000.0,1.74,0.0,0,0,9,2,1,0,0.0
29000,15.02,690.22,90000.0,22.59,0.0,1,2,1,2,2,1,6750.0
35000,13.67,1190.62,205639.0,15.51,2.0,0,2,2,2,1,1,15422.925
9000,6.03,273.92,60000.0,12.23,0.0,0,0,7,0,2,1,0.0
16800,13.99,574.11,55000.0,23.81,0.0,0,2,7,0,0,1,0.0
18150,24.5,527.42,50568.0,22.59,0.0,1,5,3,2,1,1,0.0
20500,14.49,705.54,60000.0,30.66,0.0,0,2,3,2,2,5,0.0
21000,13.58,484.08,125000.0,22.57,0.0,1,2,10,0,2,2,9375.0
14000,13.56,322.58,120000.0,13.82,1.0,1,2,10,0,2,1,9000.0
16250,6.67,499.31,92000.0,14.61,0.0,0,0,10,0,2,7,6900.0
35000,17.99,1265.16,145000.0,25.38,0.0,0,3,0,0,1,7,10875.0
5000,8.18,157.1,41000.0,27.46,1.0,0,1,1,2,2,1,0.0
9000,11.99,298.89,63600.0,25.68,0.0,0,1,-1,0,0,1,0.0
10000,11.99,222.4,55000.0,21.47,0.0,1,1,2,2,1,3,0.0
2000,13.49,67.87,50000.0,16.06,0.0,0,2,1,2,0,0,0.0
7000,24.85,277.77,28800.0,6.08,0.0,0,4,4,2,0,1,0.0
35000,13.56,806.43,70000.0,21.12,0.0,1,2,10,2,2,3,5250.0
6000,11.44,197.69,48000.0,30.81,0.0,0,1,10,2,1,1,0.0
6075,13.18,205.22,39000.0,18.4,0.0,0,2,10,2,2,0,0.0
4000,9.43,128.01,90000.0,13.49,1.0,0,1,7,0,1,9,6750.0
3200,6.99,98.8,135000.0,7.11,0.0,0,0,10,0,1,2,10125.0
18000,12.74,604.24,110000.0,29.66,0.0,0,2,10,2,2,1,8250.0
25000,10.49,812.45,125000.0,20.68,1.0,0,1,10,2,2,3,9375.0
25000,13.65,577.18,50000.0,7.01,0.0,1,2,8,0,2,2,0.0
14475,13.56,333.52,100205.0,9.52,1.0,1,2,8,0,2,3,7515.375
1500,22.35,57.56,45000.0,26.43,0.0,0,3,0,3,2,1,0.0
20000,18.84,517.06,100000.0,11.73,0.0,1,4,10,0,1,1,7500.0
12000,6.24,366.37,95000.0,7.34,0.0,0,0,0,2,2,3,7125.0
21000,18.49,538.88,100000.0,29.89,0.0,1,4,1,0,0,3,7500.0
10000,9.44,320.05,80000.0,12.68,0.0,0,1,10,0,1,1,6000.0
25000,16.91,620.11,90000.0,17.87,0.0,1,2,0,2,1,1,6750.0
7800,16.99,278.06,134400.0,13.79,2.0,0,3,10,0,2,1,10080.0
30000,10.75,648.54,90000.0,10.72,0.0,1,1,10,0,1,3,6750.0
2000,12.42,66.84,25056.0,20.79,1.0,0,1,3,0,2,0,0.0
13000,17.97,329.91,65000.0,35.01,0.0,1,3,2,2,1,1,0.0
13000,6.11,396.14,40000.0,9.39,0.0,0,0,10,0,1,3,0.0
14700,25.49,435.7,46000.0,18.13,0.0,1,4,5,2,1,7,0.0
3500,13.44,118.68,27888.0,27.93,2.0,0,2,-1,2,0,1,0.0
5000,8.24,157.24,46000.0,7.41,0.0,0,1,10,1,2,3,0.0
26400,7.97,826.92,80000.0,21.99,0.0,0,0,2,1,2,1,6000.0
5000,5.32,150.58,40000.0,13.14,2.0,0,0,10,0,2,2,0.0
11000,16.29,269.2,31200.0,23.38,0.0,1,3,0,2,1,1,0.0
24000,8.9,762.08,70000.0,9.87,0.0,0,0,7,2,0,1,5250.0
5000,13.56,169.83,30000.0,34.44,0.0,0,2,-1,2,0,2,0.0
19000,7.35,379.37,104000.0,9.99,0.0,1,0,10,0,1,1,7800.0
35000,14.08,1197.58,300000.0,16.62,1.0,0,2,4,0,0,1,22500.0
35000,16.14,853.74,110000.0,8.77,1.0,1,2,3,0,1,1,8250.0
30000,11.47,659.33,105000.0,22.27,0.0,1,1,10,0,1,1,7875.0
12000,6.46,367.57,48000.0,11.25,0.0,0,0,6,0,2,1,0.0
31000,14.33,726.64,111000.0,14.91,0.0,1,2,10,0,1,1,8325.0
15000,17.57,377.41,38000.0,26.28,1.0,1,3,2,0,1,1,0.0
20000,13.58,679.48,82000.0,17.43,0.0,0,2,10,0,2,1,6150.0
12000,15.41,418.4,68000.0,26.76,0.0,0,3,3,2,1,1,5100.0
2000,9.44,64.01,68000.0,14.26,0.0,0,1,10,0,2,0,5100.0
6400,14.08,218.99,71000.0,13.61,1.0,0,2,10,0,1,2,5325.0
20000,13.18,675.62,83000.0,11.9,0.0,0,2,10,0,0,1,6225.0
12000,9.44,384.06,62000.0,28.59,0.0,0,1,0,2,2,3,0.0
12000,12.62,270.71,101000.0,8.98,1.0,1,2,7,0,0,2,7575.0
10000,10.75,326.21,123000.0,8.73,5.0,0,1,10,0,1,3,9225.0
10000,5.32,301.15,75000.0,3.86,0.0,0,0,9,0,2,3,5625.0
17000,7.49,528.73,147000.0,11.83,0.0,0,0,9,0,1,1,11025.0
5000,12.49,167.25,30000.0,3.24,0.0,0,1,7,0,2,1,0.0
10400,13.49,352.88,65000.0,7.13,0.0,0,2,3,2,1,3,0.0
35000,11.06,1146.85,95000.0,6.0,0.0,0,1,7,2,2,9,7125.0
35000,5.32,1054.02,300000.0,11.82,2.0,0,0,10,0,0,2,22500.0
28000,7.69,873.42,190000.0,14.08,0.0,0,0,10,2,0,1,14250.0
20000,16.02,486.58,60000.0,20.88,0.0,1,2,5,0,1,3,0.0
15125,16.01,531.83,109341.0,27.36,0.0,0,2,10,0,1,1,8200.574999999999
10500,14.46,246.83,45000.0,27.09,1.0,1,2,5,2,1,1,0.0
22800,13.11,769.44,103000.0,10.5,0.0,0,1,1,2,0,1,7725.0
3000,6.99,92.62,60000.0,19.69,1.0,0,0,0,1,1,6,0.0
9575,11.22,314.48,70000.0,13.1,0.0,0,1,3,1,2,1,5250.0
4800,6.24,146.55,102000.0,25.25,0.0,0,0,1,0,1,1,7650.0
14500,11.55,319.26,63000.0,32.07,0.0,1,1,5,2,2,3,0.0
20000,5.32,602.3,55000.0,24.68,0.0,0,0,0,0,2,3,0.0
10000,12.12,332.72,40000.0,27.36,1.0,0,1,2,2,2,1,0.0
15000,15.61,361.67,54000.0,31.04,0.0,1,3,10,2,1,1,0.0
20000,16.02,703.34,60000.0,36.06,0.0,0,2,10,2,2,1,0.0
26000,16.2,635.04,60000.0,19.76,0.0,1,2,10,0,1,1,0.0
18000,12.79,407.63,236000.0,30.36,0.0,1,2,4,0,1,2,17700.0
1000,25.49,40.02,120000.0,14.26,0.0,0,4,10,2,1,0,9000.0
25600,30.17,830.93,95000.0,18.24,0.0,1,5,5,0,0,1,7125.0
15000,7.97,469.84,100000.0,30.69,1.0,0,0,-1,2,0,1,7500.0
20000,8.18,628.39,70000.0,11.5,0.0,0,1,4,0,2,1,5250.0
15000,13.59,345.85,194080.0,9.77,0.0,1,2,10,0,2,2,14556.0
16825,12.99,566.82,48000.0,18.35,0.0,0,1,3,2,0,1,0.0
32425,18.25,827.8,104559.0,18.94,0.0,1,3,10,2,1,1,7841.924999999999
26000,10.33,842.99,80000.0,14.73,0.0,0,1,4,2,1,1,6000.0
6150,12.74,206.45,64000.0,10.28,0.0,0,2,-1,0,1,1,0.0
2500,7.84,78.16,50000.0,8.43,0.0,0,0,10,0,2,2,0.0
8000,13.67,272.15,27000.0,28.31,0.0,0,2,-1,1,1,1,0.0
20000,13.44,678.13,80000.0,20.03,0.0,0,2,9,0,2,2,6000.0
8000,6.99,246.99,89600.0,22.92,0.0,0,0,6,0,2,6,6720.0
7000,12.61,234.55,34000.0,25.7,0.0,0,2,5,2,2,1,0.0
20000,18.45,512.78,65000.0,18.7,0.0,1,3,3,0,2,1,0.0
6000,10.91,196.18,52000.0,11.19,0.0,0,1,3,2,2,1,0.0
6500,10.74,212.01,38000.0,13.86,0.0,0,1,10,2,2,1,0.0
22075,18.25,563.57,60000.0,11.18,0.0,1,4,10,0,2,2,0.0
12000,11.44,395.37,125000.0,8.17,0.0,0,1,1,0,2,3,9375.0
23700,15.61,571.44,95000.0,32.91,0.0,1,3,3,2,0,1,7125.0
12000,11.99,398.52,65000.0,25.77,0.0,0,1,6,0,2,1,0.0
4800,10.99,157.13,19200.0,16.94,0.0,0,1,4,0,0,1,0.0
13000,12.29,433.59,60000.0,23.14,0.0,0,2,5,2,1,1,0.0
12000,9.71,385.58,60000.0,24.06,0.0,0,1,2,0,0,2,0.0
5000,8.24,157.24,45000.0,29.68,0.0,0,1,4,0,0,1,0.0
12450,15.31,298.22,45000.0,21.99,1.0,1,2,4,2,1,3,0.0
21000,14.49,722.74,72000.0,33.07,0.0,0,2,9,2,2,1,5400.0
9000,16.91,320.48,100000.0,18.91,3.0,0,2,2,0,1,1,7500.0
5000,8.46,157.75,60000.0,13.38,0.0,0,0,-1,1,0,1,0.0
23500,22.4,654.41,52862.0,30.03,0.0,1,4,-1,2,0,3,0.0
25000,13.49,575.12,99200.0,21.12,0.0,1,2,3,2,0,1,7440.0
9600,12.69,322.04,62000.0,17.56,0.0,0,2,10,0,1,1,0.0
15000,11.99,498.15,80000.0,12.84,1.0,0,1,10,2,1,1,6000.0
36000,6.99,1111.42,220000.0,18.15,0.0,0,0,10,0,2,1,16500.0
3500,10.99,114.57,33000.0,8.67,0.0,0,1,3,2,2,1,0.0
1600,16.02,56.27,62213.0,15.64,0.0,0,2,3,2,1,1,0.0
10000,14.49,344.17,42000.0,28.06,1.0,0,2,10,0,1,0,0.0
20000,11.99,664.2,90302.0,21.4,0.0,0,2,-1,0,1,1,6772.65
8500,6.08,258.9,60000.0,8.88,0.0,0,0,10,1,2,3,0.0
15000,10.72,489.1,90000.0,22.12,0.0,0,1,5,1,1,3,6750.0
3850,9.93,124.11,35000.0,18.69,0.0,0,1,3,2,2,3,0.0
25000,6.92,494.09,70000.0,11.09,0.0,1,0,-1,0,0,1,5250.0
10000,9.49,320.29,72000.0,2.66,0.0,0,1,5,2,2,1,5400.0
9900,6.11,301.68,40000.0,16.26,0.0,0,0,0,1,2,1,0.0
4900,13.06,165.25,46500.0,25.94,0.0,0,2,-1,2,2,7,0.0
8000,13.06,269.79,56600.0,21.88,0.0,0,2,10,0,1,1,0.0
7200,14.65,248.36,34000.0,26.47,0.0,0,2,10,2,1,1,0.0
20000,6.24,610.62,48000.0,19.3,0.0,0,0,10,0,1,3,0.0
3000,13.35,101.59,110000.0,8.31,1.0,0,2,10,0,0,2,8250.0
15000,7.34,465.5,32000.0,28.58,0.0,0,0,10,1,1,6,0.0
16000,16.02,562.68,65000.0,12.75,1.0,0,2,2,2,2,3,0.0
7025,17.57,252.46,38000.0,34.99,0.0,0,3,3,2,1,1,0.0
15000,13.44,344.69,53000.0,34.4,0.0,1,2,3,1,2,3,0.0
10000,6.71,307.45,24000.0,14.8,0.0,0,0,1,2,1,7,0.0
6600,5.32,198.76,85000.0,15.33,0.0,0,0,2,0,1,1,6375.0
7600,25.34,303.55,75000.0,20.96,1.0,0,4,1,2,2,1,5625.0
23325,15.31,558.71,52275.17,26.63,0.0,1,2,10,2,0,1,0.0
16000,17.47,401.7,35000.0,11.56,0.0,1,3,0,1,0,9,0.0
4125,16.55,146.15,32000.0,35.3,1.0,0,3,4,0,0,1,0.0
18000,8.18,565.56,100000.0,12.24,0.0,0,1,8,0,2,1,7500.0
10200,12.62,230.11,80000.0,13.35,0.0,1,2,9,1,1,0,6000.0
14400,15.99,350.11,65000.0,1.81,0.0,1,2,4,1,2,7,0.0
15000,6.97,462.96,50000.0,23.76,0.0,0,0,5,2,2,3,0.0
28000,9.49,587.92,125000.0,23.63,1.0,1,1,10,1,1,3,9375.0
2000,6.11,60.95,60000.0,1.04,0.0,0,0,10,0,2,3,0.0
10325,13.99,240.2,51000.0,21.34,0.0,1,2,2,2,2,3,0.0
7200,8.24,226.42,140000.0,26.09,0.0,0,1,9,0,2,3,10500.0
10000,7.26,309.97,77400.0,28.64,0.0,0,0,5,2,2,1,5805.0
16000,5.32,481.84,175000.0,11.77,0.0,0,0,10,0,2,1,13125.0
13000,8.24,408.82,92000.0,6.52,0.0,0,1,0,2,2,1,6900.0
8000,13.18,270.25,28000.0,19.85,0.0,0,2,3,2,0,1,0.0
14000,14.72,483.4,45500.0,21.52,0.0,0,2,5,1,0,1,0.0
22750,13.67,773.9,52000.0,32.47,0.0,0,1,0,0,0,3,0.0
12000,13.59,407.75,70000.0,23.42,0.0,0,2,2,0,1,1,5250.0
14000,6.99,432.22,74000.0,14.29,0.0,0,0,0,2,1,7,5550.0
4200,18.06,151.97,85000.0,10.87,0.0,0,3,10,0,1,1,6375.0
20000,13.49,678.61,65000.0,27.27,0.0,0,2,2,2,2,1,0.0
9875,14.65,340.64,81000.0,8.97,1.0,0,2,10,0,1,1,6075.0
35000,9.99,1129.19,114000.0,15.66,1.0,0,1,3,0,1,1,8550.0
10000,6.89,308.27,55000.0,1.72,0.0,0,0,-1,2,0,1,0.0
17000,15.61,409.9,80000.0,8.72,0.0,1,2,6,0,1,0,6000.0
35000,12.79,1175.76,80000.0,21.3,0.0,0,2,10,0,1,3,6000.0
21000,17.14,523.49,91500.0,26.89,0.0,1,3,10,0,1,1,6862.5
15000,26.31,606.84,71000.0,34.65,0.0,0,4,10,2,1,1,5325.0
24000,18.99,622.45,123000.0,33.98,0.0,1,3,10,0,0,1,9225.0
28000,10.91,915.5,180000.0,5.34,0.0,0,1,7,0,1,3,13500.0
6400,10.42,207.78,45000.0,11.34,1.0,0,1,5,1,2,2,0.0
16000,9.93,515.75,85000.0,52.31,0.0,0,1,0,0,0,1,6375.0
8875,11.99,294.74,50000.0,17.96,0.0,0,2,0,2,1,1,0.0
12000,7.34,372.4,50000.0,13.01,1.0,0,0,-1,2,2,7,0.0
15600,17.09,388.46,95000.0,13.58,0.0,1,3,3,0,1,1,7125.0
30000,17.97,761.32,160000.0,16.68,0.0,1,3,3,0,0,7,12000.0
20000,19.03,733.43,60000.0,11.18,0.0,0,3,4,2,1,1,0.0
15000,11.39,493.86,85000.0,12.11,0.0,0,1,0,0,1,3,6375.0
25000,6.39,764.98,140000.0,9.28,0.0,0,0,4,2,1,3,10500.0
40000,6.11,1218.88,173000.0,18.86,0.0,0,0,8,0,2,3,12975.0
16800,16.01,590.73,47000.0,36.29,1.0,0,2,10,0,1,1,0.0
22000,12.29,733.77,110750.0,14.77,0.0,0,2,5,2,1,1,8306.25
14350,9.17,457.47,36000.0,27.27,0.0,0,1,-1,1,2,3,0.0
15000,5.32,451.73,40000.0,13.03,0.0,0,0,7,2,2,1,0.0
8000,11.55,264.0,135000.0,25.8,0.0,0,1,7,0,2,0,10125.0
6000,13.35,203.18,52000.0,18.76,0.0,0,2,3,2,2,1,0.0
18000,30.84,591.69,50000.0,22.97,0.0,1,6,4,0,1,1,0.0
8000,20.39,298.91,60000.0,10.4,1.0,0,3,2,2,1,7,0.0
8000,14.46,275.22,85000.0,23.28,0.0,0,2,10,1,1,3,6375.0
10000,12.61,335.07,45000.0,34.11,0.0,0,2,4,2,2,3,0.0
